player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Chris Olave,NO,WR,16,2025,25.0,2.6,0.16,2.42,0.15
Rico Dowdle,CAR,RB,16,2025,26.0,2.3,0.14,0.98,0.06
Patrick Mahomes II,KC,QB,14,2025,27.0,2.29,0.16,,
Trevor Lawrence,JAC,QB,16,2025,28.0,2.24,0.14,,
Dak Prescott,DAL,QB,16,2025,29.0,2.24,0.14,,
Jaylen Warren,PIT,RB,15,2025,30.0,2.17,0.14,1.16,0.08
RJ Harvey,DEN,RB,16,2025,31.0,2.14,0.13,0.93,0.06
Jalen Hurts,PHI,QB,16,2025,32.0,2.1,0.13,,
Breece Hall,NYJ,RB,16,2025,33.0,2.1,0.13,0.94,0.06
Kenneth Gainwell,PIT,RB,16,2025,34.0,2.09,0.13,0.75,0.05
Davante Adams,LAR,WR,14,2025,35.0,2.03,0.15,1.91,0.14
George Kittle,SF,TE,10,2025,36.0,1.97,0.2,1.78,0.18
Caleb Williams,CHI,QB,16,2025,37.0,1.87,0.12,,
Nico Collins,HOU,WR,15,2025,38.0,1.82,0.12,1.72,0.11
TreVeyon Henderson,NE,RB,16,2025,39.0,1.81,0.11,0.44,0.03
Brock Bowers,LV,TE,12,2025,40.0,1.81,0.15,1.64,0.14
A.J. Brown,PHI,WR,15,2025,41.0,1.8,0.12,1.47,0.1
Drake London,ATL,WR,11,2025,42.0,1.77,0.16,1.41,0.13
Justin Herbert,LAC,QB,16,2025,43.0,1.73,0.11,,
CeeDee Lamb,DAL,WR,13,2025,44.0,1.73,0.13,1.66,0.13
Bo Nix,DEN,QB,16,2025,45.0,1.71,0.11,,
Kyle Pitts Sr.,ATL,TE,16,2025,46.0,1.7,0.11,1.42,0.09
Omarion Hampton,LAC,RB,9,2025,47.0,1.7,0.19,1.03,0.11
Rashee Rice,KC,WR,8,2025,48.0,1.66,0.21,1.54,0.19
Jared Goff,DET,QB,16,2025,49.0,1.65,0.1,,
Jake Ferguson,DAL,TE,16,2025,50.0,1.65,0.1,1.43,0.09
Cam Skattebo,NYG,RB,8,2025,51.0,1.61,0.2,1.0,0.13
Quinshon Judkins,CLE,RB,14,2025,52.0,1.6,0.11,0.58,0.04
Dallas Goedert,PHI,TE,15,2025,53.0,1.6,0.11,1.41,0.09
Travis Kelce,KC,TE,16,2025,54.0,1.58,0.1,1.43,0.09
Harold Fannin Jr.,CLE,TE,16,2025,55.0,1.5,0.09,1.4,0.09
Wan'Dale Robinson,NYG,WR,16,2025,56.0,1.49,0.09,1.22,0.08
Brock Purdy,SF,QB,8,2025,57.0,1.48,0.19,,
Courtland Sutton,DEN,WR,16,2025,58.0,1.48,0.09,1.29,0.08
Bucky Irving,TB,RB,9,2025,59.0,1.47,0.16,0.87,0.1
Kenneth Walker III,SEA,RB,16,2025,60.0,1.45,0.09,0.25,0.02
Jaxson Dart,NYG,QB,13,2025,61.0,1.42,0.11,,
Tony Pollard,TEN,RB,16,2025,62.0,1.42,0.09,0.26,0.02
Jameson Williams,DET,WR,16,2025,63.0,1.4,0.09,1.03,0.06
Tyler Warren,IND,TE,16,2025,64.0,1.36,0.09,1.3,0.08
Zay Flowers,BAL,WR,16,2025,65.0,1.36,0.08,1.22,0.08
Zach Charbonnet,SEA,RB,15,2025,66.0,1.29,0.09,0.17,0.01
Tee Higgins,CIN,WR,14,2025,67.0,1.29,0.09,1.07,0.08
Daniel Jones,IND,QB,13,2025,68.0,1.24,0.1,,
Tucker Kraft,GB,TE,8,2025,69.0,1.24,0.15,1.07,0.13
Juwan Johnson,NO,TE,16,2025,70.0,1.22,0.08,1.16,0.07
Rhamondre Stevenson,NE,RB,13,2025,71.0,1.18,0.09,0.15,0.01
Dalton Schultz,HOU,TE,16,2025,72.0,1.16,0.07,1.01,0.06
Stefon Diggs,NE,WR,16,2025,73.0,1.15,0.07,0.95,0.06
Michael Wilson,ARI,WR,16,2025,74.0,1.12,0.07,0.62,0.04
