Player,Team,FPTS,FPTS High,FPTS Low,Bye,ADP Rank,POS,ADP,AVG,MODE,MAD,AVG High,AVG Low,Pos,WAR,WAR High,WAR Low,WAR MAD,Rank,Historical WAR,Pos Rank,Overall Rank,Dollar Value,Flex WAR,Flex WAR High,Flex WAR Low,Diff,Tier
Nyheim Hines,CLE,9.440000000000001,17.2,2.39,10,727,RB175,592.0,0.5552941176470589,8.730000000000004,0.5135294117647061,1.011764705882353,0.14058823529411765,RB,-2.9070112573492435,-2.769118695134245,-3.029676235936695,-2.9194778379937123,124.0,-1.125367354663946,124.0RB,437.0,1500.0,-3.6481997846327103,-3.4916889080382094,-3.788100133811734,155.0,16
Travis Homer,CHI,9.14,13.5,4.69,7,496,RB115,490.5,0.5376470588235295,9.23,0.5429411764705883,0.7941176470588235,0.27588235294117647,RB,-2.912281905923537,-2.835239810981237,-2.989932897939077,-2.910701184383407,125.0,-1.1926318494037964,125.0RB,438.0,1500.0,-3.6541978455310096,-3.5666390605582095,-3.742702120392964,52.5,16
Devin Duvernay,JAC,22.150000000000006,30.689999999999998,12.400000000000002,12,682,WR221,508.0,1.3029411764705885,23.360000000000014,1.3741176470588243,1.8052941176470587,0.7294117647058824,WR,-2.912450063336945,-2.7580506244176877,-3.084306247205161,-2.8907921513420716,172.0,-2.062296258615491,172.0WR,439.0,1500.0,-3.3905061745187997,-3.2135452238154567,-3.5888076882058546,69.0,16
DeeJay Dallas,ARI,8.700000000000001,13.2,4.2,11,463,RB109,421.0,0.511764705882353,8.700000000000003,0.5117647058823531,0.776470588235294,0.24705882352941178,RB,-2.920004039017787,-2.840571221649094,-2.9984223412731037,-2.920004039017787,126.0,-1.2508386301263363,126.0RB,440.0,1500.0,-3.6629878423459803,-3.5726902512412453,-3.7523937344400062,-19.0,16
Patrick Ricard,BAL,8.610000000000001,8.610000000000001,8.610000000000001,14,446,RB105,405.5,0.5064705882352942,8.610000000000003,0.5064705882352943,0.5064705882352942,0.5064705882352942,RB,-2.9215823715303544,-2.9215823715303544,-2.9215823715303544,-2.9215823715303544,127.0,-1.273789393861209,127.0RB,441.0,1500.0,-3.6647847463941026,-3.6647847463941026,-3.6647847463941026,-35.5,16
Emani Bailey,KC,8.5,8.5,8.5,6,799,RB194,689.0,0.5,8.5,0.5,0.5,0.5,RB,-2.923510893394,-2.923510893394,-2.923510893394,-2.923510893394,128.0,-1.2938812232859522,128.0RB,442.0,1500.0,-3.6669804778795174,-3.6669804778795174,-3.6669804778795174,247.0,16
Michael Burton,DEN,8.290000000000001,8.290000000000001,8.290000000000001,14,715,RB172,572.0,0.4876470588235295,8.290000000000003,0.48764705882352954,0.4876470588235295,0.4876470588235295,RB,-2.927190932899008,-2.927190932899008,-2.927190932899008,-2.927190932899008,129.0,-1.3151143695589924,129.0RB,443.0,1500.0,-3.671170848027461,-3.671170848027461,-3.671170848027461,129.0,16
Adam Prentice,NO,8.2,11.33,5.07,12,793,RB191,683.0,0.48235294117647054,8.2,0.48235294117647054,0.6664705882352941,0.2982352941176471,RB,-2.928767415912086,-2.873702695252999,-2.9833409147935575,-2.928767415912086,130.0,-1.3677051314759512,130.0RB,444.0,1500.0,-3.6729661256675,-3.6103212787738768,-3.7351787926894,239.0,16
Robert Woods,HOU,20.970000000000002,32.699999999999996,12.590000000000002,14,386,WR124,380.5,1.233529411764706,17.62000000000001,1.0364705882352947,1.9235294117647057,0.7405882352941178,WR,-2.9335011463496516,-2.72119186311105,-3.08100274071821,-2.9928876406713347,173.0,-2.071086875118177,173.0WR,445.0,1500.0,-3.414720267498207,-3.1714642057065223,-3.584982311595193,-64.5,16
Patrick Taylor Jr.,SF,7.8500000000000005,13.4,3.87,9,430,RB101,404.0,0.46176470588235297,6.280000000000001,0.36941176470588244,0.788235294117647,0.22764705882352942,RB,-2.934894321743294,-2.8370174450033083,-3.004132896669877,-2.962302207794947,131.0,-1.370839024564092,131.0RB,446.0,1500.0,-3.6799443630290374,-3.568656557019223,-3.7589146893286713,-42.0,16
