Year,Scoring,Player,Team,ADP Rank,POS,ADP
2026,ppr,Jordan Mason,MIN,102,RB38,103.6
2026,ppr,Wan'Dale Robinson,TEN,103,WR41,103.8
2026,ppr,Quentin Johnston,LAC,104,WR42,104.2
2026,ppr,Isaiah Likely,NYG,105,TE11,104.8
2026,ppr,Kyle Monangai,CHI,106,RB39,105.0
2026,ppr,Jordan Addison,MIN,107,WR43,108.2
2026,ppr,Los Angeles Rams,DST,108,DST2,108.4
2026,ppr,Patrick Mahomes,KC,109,QB13,109.2
2026,ppr,Jacory Croskey-Merritt,WAS,110,RB40,109.4
2026,ppr,De'Zhaun Stribling,SF,111,WR44,110.2
2026,ppr,Dallas Goedert,PHI,112,TE12,112.8
2026,ppr,Makai Lemon,PHI,113,WR45,113.0
2026,ppr,Bo Nix,DEN,114,QB14,113.0
2026,ppr,Brock Purdy,SF,115,QB15,113.0
2026,ppr,Denver Broncos,DST,116,DST3,113.2
2026,ppr,Jake Ferguson,DAL,117,TE13,113.2
2026,ppr,Rachaad White,WAS,118,RB41,113.8
2026,ppr,Josh Downs,IND,119,WR46,114.8
2026,ppr,Aaron Jones Sr.,MIN,120,RB42,116.0
2026,ppr,Jayden Reed,GB,121,WR47,116.8
2026,ppr,Dalton Kincaid,BUF,122,TE14,117.2
2026,ppr,Jakobi Meyers,JAC,123,WR48,121.4
2026,ppr,Seattle Seahawks,DST,124,DST4,121.8
2026,ppr,KC Concepcion,CLE,125,WR49,122.8
2026,ppr,Jared Goff,DET,126,QB16,123.2
2026,ppr,Matthew Golden,GB,127,WR50,123.6
2026,ppr,Mark Andrews,BAL,128,TE15,129.0
2026,ppr,Romeo Doubs,NE,129,WR51,133.4
2026,ppr,Xavier Worthy,KC,130,WR52,133.8
2026,ppr,Woody Marks,HOU,131,RB43,135.2
2026,ppr,Ka'imi Fairbairn,HOU,132,K2,135.4
2026,ppr,Cameron Dicker,LAC,133,K3,136.2
2026,ppr,Chris Rodriguez Jr.,JAC,134,RB44,137.6
2026,ppr,Deebo Samuel Sr.,SF,135,WR53,137.6
2026,ppr,Jason Myers,SEA,136,K4,138.4
2026,ppr,Kyler Murray,MIN,137,QB17,138.6
2026,ppr,Mike Washington Jr.,LV,138,RB45,139.2
2026,ppr,Philadelphia Eagles,DST,139,DST5,140.0
2026,ppr,Baker Mayfield,TB,140,QB18,141.0
2026,ppr,Tyler Allgeier,ARI,141,RB46,141.4
2026,ppr,Jalen Coker,CAR,142,WR54,142.0
2026,ppr,Tyjae Spears,TEN,143,RB47,144.8
2026,ppr,Rashid Shaheed,SEA,144,WR55,145.4
2026,ppr,Zach Charbonnet,SEA,145,RB48,145.8
2026,ppr,Jordyn Tyson,NO,146,WR56,146.8
2026,ppr,Jordan Love,GB,147,QB19,148.2
2026,ppr,Khalil Shakir,BUF,148,WR57,149.2
