Rank,QB WAR,RB WAR,WR WAR,TE WAR
119.0,,-0.5242926195120152,-0.6778992658173215,-1.8707804921640037
120.0,,-0.5341755025526458,-0.6956871235826998,-1.8715253411127077
121.0,,-0.5623252733064448,-0.705929683834301,-1.8897482859342047
122.0,,-0.5687666036981149,-0.7060160768248447,-1.892585104472277
123.0,,-0.5891485827545431,-0.7138521728626406,-1.8935567667012208
124.0,,-0.6270990903266473,-0.7242144752049509,-1.8974106670422102
125.0,,-0.6480362974133413,-0.7379252670290192,-1.8985503374261856
126.0,,-0.6706624526880584,-0.7505325694321295,-1.9106900546688599
127.0,,-0.6711289067388759,-0.7560691927309469,-1.9544119321306237
128.0,,-0.688097316311239,-0.7579968825619088,-1.9885804353608347
129.0,,-0.7344194216893851,-0.7632468734198042,-2.1064010988164554
130.0,,-0.803627930704277,-0.7719457030381454,-2.1228073074682867
131.0,,-0.8087143007512654,-0.7753114790291021,-2.12868827454925
132.0,,-0.811198993761918,-0.7854265080111084,-2.136461092112925
133.0,,-0.8192635832980151,-0.7873738084517591,-2.1790674771747858
134.0,,-0.8308068037021819,-0.8200869829355283,-2.199218228615592
135.0,,-0.883992666640808,,-2.2158871956515944
136.0,,-0.9051892513735447,,-2.236422802301025
137.0,,-0.9195721019224963,-0.8212337323240032,-2.2630659060753064
138.0,,-0.9242449151443033,,-2.2737622958613963
139.0,,-0.9416745648765825,,-2.2834487636223924
140.0,,-0.9536270529283706,-0.8309367993097828,-2.2901095167778247
141.0,,-0.9680912589676138,-0.8350668611422248,-2.293466419190754
142.0,,-0.9961947883992399,-0.867306309994083,-2.3261631172539614
143.0,,-1.0048284687031428,-0.8778287913921855,-2.3580892941141176
144.0,,-1.036665958443708,-0.8823585057224074,
144.5,,,,-2.4148863035082675
145.0,,-1.037638001135594,-0.9002398297647565,
146.0,,-1.0911975271573953,-0.9024610017739733,-2.4392277772158977
147.0,,-1.1528676984094783,-0.927337532959003,-2.499000237739723
148.0,,-1.2366906706403369,-0.940772708987136,-2.520275615389951
149.0,,-1.252364308384753,-0.9422974037818784,-2.5438365389804543
150.0,,-1.2564703783879225,-0.9432997932401939,-2.5669854778577825
151.0,,-1.2670366601033307,-0.943970866559908,-2.5873781823302866
152.0,,-1.270836758323417,-0.9461683517583214,-2.649087782956922
153.0,,-1.297443560352996,-0.9679143226606257,-2.6890948224073443
154.0,,-1.3001550872848893,-0.9735433658450661,-2.7254456258413238
155.0,,-1.3207353413976726,-0.9854804787888038,-2.731178491196356
156.0,,-1.345885106216194,-0.9925239514775924,-2.7598700611523057
157.0,,-1.3664796199293199,-0.9985910623626515,
158.0,,-1.4160678457980345,-0.9994569278623158,
159.0,,-1.4505081936631623,-1.028054184384546,
160.0,,-1.470366890229327,-1.0288278082282964,
161.0,,-1.5107526187982647,-1.0566716508557392,
162.0,,-1.5191545015013177,-1.060271090590327,
163.0,,-1.5621075802943603,-1.0610477349753977,
164.0,,-1.6167691994017157,-1.0621548043033064,
165.0,,-1.6281224183990166,-1.0628221169325132,
166.0,,-1.6727302521924319,-1.068938486377529,
167.0,,-1.6826625674093638,-1.0730171881885318,
168.0,,-1.7329592158955687,-1.1123323458443481,
169.0,,-1.7692550677310317,-1.1172337252372213,
170.0,,-1.794827389848926,-1.125986961994375,
171.0,,-1.832758070552074,-1.1329677779745444,
172.0,,-1.8484898302886066,-1.1435524254524783,
173.0,,,-1.1449108901308815,
174.0,,,-1.1497272252536046,
175.0,,,-1.1591529486302008,
176.0,,,-1.161234136481867,
177.0,,,-1.1841878376730355,
178.0,,,-1.199066231103158,
179.0,,,-1.2019220940287323,
180.0,,,-1.2077169905542844,
181.0,,,-1.2106804024754783,
182.0,,,-1.223640618465812,
183.0,,,-1.2400583810458858,
184.0,,,-1.259815004672376,
185.0,,,-1.2855215514590128,
186.0,,,-1.2892198437584172,
187.0,,,-1.305586974852929,
188.5,,,-1.3139739717184051,
190.0,,,-1.3225061796151507,
191.0,,,-1.3568674446463231,
192.0,,,-1.3595564222728376,
193.0,,,-1.3618610301669347,
194.0,,,-1.3883303651383412,
195.0,,,-1.3991110358718388,
196.0,,,-1.3997105764065623,
197.0,,,-1.4216544453766358,
198.0,,,-1.476917253314911,
199.0,,,-1.5114319453408007,
200.0,,,-1.5267976112085786,
201.0,,,-1.5401254954933727,
202.0,,,-1.544391405333273,
203.0,,,-1.5539925658575204,
204.0,,,-1.5839689885997654,
205.0,,,-1.5924577565884879,
206.0,,,-1.5992502374860242,
207.0,,,-1.6082020060928164,
208.0,,,-1.6114132854495669,
209.0,,,-1.6193230078161425,
210.0,,,-1.621334918735891,
211.0,,,-1.6331343306406574,
212.0,,,-1.63955445286194,
213.0,,,-1.642406488425907,
214.0,,,-1.644112875402564,
215.0,,,-1.6506656532397685,
216.0,,,-1.6894497606395098,
217.0,,,-1.692465644253255,
218.0,,,-1.6933212377215123,
219.0,,,-1.7048355812086793,
220.0,,,-1.7187420552640553,
221.0,,,-1.7564325489235535,
222.0,,,-1.7754076666498135,
223.0,,,-1.8021491017210751,
224.0,,,-1.8095702123511188,
225.0,,,-1.8147749805249547,
226.0,,,-1.825312808399778,
227.0,,,-1.827713022896587,
228.0,,,-1.8379634622206236,
229.0,,,-1.8527234553032716,
230.0,,,-1.8777216423478114,
231.0,,,-1.8896065406716096,
232.0,,,-1.908089064037138,
233.0,,,-1.9113631588351998,
234.0,,,-1.9318763712925051,
235.0,,,-1.9479888875916767,
236.0,,,-1.9622572391208002,
237.0,,,-1.9833528846346289,
238.0,,,-1.9929005713074126,
239.0,,,-2.028378427214568,
240.0,,,-2.03907264693097,
241.0,,,-2.0461797596993536,
242.0,,,-2.067516182662394,
243.0,,,-2.0992816675128614,
244.0,,,-2.1073721174517988,
245.0,,,-2.138042875429401,
246.0,,,-2.154411099914003,
247.0,,,-2.219176911318845,
248.0,,,-2.2462566051080124,
249.0,,,-2.271516122089096,
250.0,,,-2.2965680929814907,
251.0,,,-2.2984553367420255,
252.0,,,-2.2989498738914067,
253.0,,,-2.299454450507209,
254.0,,,-2.4397809901232876,
255.0,,,-2.4847000087557896,
256.0,,,-2.569115405976185,
257.0,,,-2.69094437878815,
