player,team,position,games,year,rank,WAR,WAR/G,Superflex WAR,Superflex WAR/G,Flex WAR,Flex WAR/G
Terry McLaurin,WAS,WR,9,2025,124.0,0.38,0.04,0.44,0.05,0.4,0.04
AJ Barner,SEA,TE,16,2025,125.0,0.37,0.02,-0.18,-0.01,-0.29,-0.02
Oronde Gadsden II,LAC,TE,14,2025,126.0,0.33,0.02,-0.17,-0.01,-0.28,-0.02
Parker Washington,JAC,WR,15,2025,127.0,0.33,0.02,0.27,0.02,0.16,0.01
Khalil Shakir,BUF,WR,16,2025,128.0,0.33,0.02,0.36,0.02,0.28,0.02
Marvin Harrison Jr.,ARI,WR,12,2025,129.0,0.32,0.03,0.3,0.03,0.23,0.02
Tyreek Hill,MIA,WR,4,2025,130.0,0.32,0.08,0.37,0.09,0.36,0.09
Bam Knight,ARI,RB,12,2025,131.0,0.3,0.03,-0.47,-0.04,-0.55,-0.05
Tyler Allgeier,ATL,RB,16,2025,132.0,0.29,0.02,-0.75,-0.05,-0.85,-0.05
Romeo Doubs,GB,WR,16,2025,133.0,0.29,0.02,0.23,0.01,0.13,0.01
Aaron Rodgers,PIT,QB,15,2025,134.0,0.29,0.02,1.55,0.1,,
Mike Evans,TB,WR,7,2025,135.0,0.28,0.04,0.32,0.05,0.29,0.04
Michael Carter,ARI,RB,12,2025,136.0,0.24,0.02,-0.53,-0.04,-0.6,-0.05
Brenton Strange,JAC,TE,11,2025,137.0,0.24,0.02,-0.11,-0.01,-0.16,-0.01
Blake Corum,LAR,RB,16,2025,138.0,0.22,0.01,-0.9,-0.06,-1.03,-0.06
Kyler Murray,ARI,QB,5,2025,139.0,0.21,0.04,0.74,0.15,,
Bryce Young,CAR,QB,15,2025,140.0,0.2,0.01,1.34,0.09,,
Jordan Addison,MIN,WR,13,2025,141.0,0.19,0.01,0.22,0.02,0.16,0.01
Jawhar Jordan,HOU,RB,3,2025,142.0,0.19,0.06,0.02,0.01,0.01,0.0
Tyler Shough,NO,QB,10,2025,143.0,0.18,0.02,0.98,0.1,,
Theo Johnson,NYG,TE,15,2025,144.0,0.16,0.01,-0.35,-0.02,-0.44,-0.03
James Conner,ARI,RB,4,2025,145.0,0.15,0.04,-0.1,-0.03,-0.13,-0.03
Brian Thomas Jr.,JAC,WR,13,2025,146.0,0.12,0.01,0.14,0.01,0.08,0.01
J.J. McCarthy,MIN,QB,9,2025,147.0,0.11,0.01,0.75,0.08,,
Malik Willis,GB,QB,4,2025,148.0,0.1,0.03,0.27,0.07,,
Michael Penix Jr.,ATL,QB,9,2025,149.0,0.09,0.01,0.78,0.09,,
Chris Godwin Jr.,TB,WR,8,2025,150.0,0.07,0.01,0.05,0.01,0.01,0.0
Justice Hill,BAL,RB,10,2025,151.0,0.06,0.01,-0.7,-0.07,-0.82,-0.08
