player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Durham Smythe,CHI,TE,16,2025,647.0,-1.86,-0.12,-2.91,-0.18
Konata Mumpfield,LAR,WR,16,2025,648.0,-1.86,-0.12,-2.57,-0.16
Payne Durham,TB,TE,16,2025,649.0,-1.89,-0.12,-2.95,-0.18
Kylen Granson,PHI,TE,16,2025,650.0,-1.89,-0.12,-2.95,-0.18
Chris Manhertz,NYG,TE,16,2025,651.0,-1.9,-0.12,-2.96,-0.18
Charlie Jones,CIN,WR,14,2025,652.0,-1.9,-0.14,-2.6,-0.19
Arian Smith,NYJ,WR,15,2025,653.0,-1.92,-0.13,-2.63,-0.18
Skyy Moore,SF,WR,16,2025,654.0,-1.99,-0.12,-2.72,-0.17
LaJohntay Wester,BAL,WR,15,2025,655.0,-2.07,-0.14,-2.84,-0.19
Devin Duvernay,CHI,WR,16,2025,656.0,-2.12,-0.13,-2.91,-0.18
Myles Price,MIN,WR,16,2025,657.0,-2.27,-0.14,-3.12,-0.19
